,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Gerrit Cole,34.5,7.111,9324202028,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000
1,Giancarlo Stanton,35.4,10.118,133252015272028,25000000,29000000,29000000,32000000,32000000,32000000,29000000,25000000
2,Aroldis Chapman,37.1,10.009,348202022,17466667,16000000,16000000,FREE AGENT,,,,
3,Anthony Rizzo,35.6,8.168,973201321,16500000,16500000,FREE AGENT,,,,,
4,DJ LeMahieu,36.7,8.128,690202126,15000000,15000000,15000000,15000000,15000000,15000000,15000000,FREE AGENT
5,Zack Britton,37.3,8.158,453201922,13250000,13000000,14000000,FREE AGENT,,,,
6,Rougned Odor,31.1,6.121,6495201722,12333333,12333333,12333333,13500000,,,,
7,Corey Kluber,39.0,8.074,1112021,11000000,11000000,FREE AGENT,,,,,
8,Aaron Hicks,35.5,7.041,770201925,10000000,10785714,10785714,10785714,9785714,9785714,12500000,
9,Luis Severino,31.1,4.170,552252019232023,10000000,10750000,11500000,15000000,FREE AGENT,,,
10,Joely Rodríguez,33.4,1.096,255202021,2750000,2500000,3000000,ARB 1,ARB 2,ARB 3,,
11,Brett Gardner,41.6,12.072,25152021,2575000,2850000,2300000,,,,,
12,Darren O'Day,42.4,12.103,23152021,1575000,1750000,1400000,,,,,
