,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Gerrit Cole,34.5,8.111,9324202028,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000
1,Josh Donaldson,39.3,9.158,492202023,25000000,23750000,21750000,16000000,,,,
2,Giancarlo Stanton,35.4,11.118,133252015272028,25000000,29000000,32000000,32000000,32000000,29000000,25000000,25000000
3,Aroldis Chapman,37.1,11.009,348202022,17466667,16000000,FREE AGENT,,,,,
4,Anthony Rizzo,35.6,9.168,116202223,16000000,16000000,,FREE AGENT,,,,
5,DJ LeMahieu,36.7,9.128,690202126,15000000,15000000,15000000,15000000,15000000,15000000,FREE AGENT,
6,Zack Britton,37.3,9.158,453201922,13250000,14000000,FREE AGENT,,,,,
7,Aaron Hicks,35.5,8.041,770201925,10000000,10785714,10785714,9785714,9785714,12500000,,
8,Luis Severino,31.1,5.170,552252019232023,10000000,11500000,15000000,FREE AGENT,,,,
9,Harrison Bader,30.8,4.030,2104202223,5200000,5200000,5200000,FREE AGENT,,,,
10,Marwin Gonzalez,36.0,9.128,1112022,1100000,1100000,FREE AGENT,,,,,
11,Tim Locastro,32.7,3.010,19002022,900000,900000,ARB 2,ARB 3,FREE AGENT,,,
12,Matt Carpenter,39.3,10.012,1730820221,730769,730769,FREE AGENT,,,,,
